Series Name	Series Code	Time	Time Code	World	Guinea	Liberia 	United States	Sierra Leone
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1960	YR1960	0	0	0	0	0
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1961	YR1961	4.300373757	0	0	2.3	1.80904355
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1962	YR1962	5.554035698	0	0	6.1	4.540967064
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1963	YR1963	5.353451424	0	0	4.4	1.699715173
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1964	YR1964	6.714764055	0	0	5.8	6.685238791
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1965	YR1965	5.519450662	0	0	6.4	7.180155792
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1966	YR1966	5.769563226	0	0	6.5	1.699999998
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1967	YR1967	4.48689164	0	0	2.5	0.036281553
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1968	YR1968	6.315078052	0	0	4.8	2.019923833
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1969	YR1969	6.116577005	0	0	3.1	8.525446802
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1970	YR1970	3.535942287	0	0	-0.254079593	8.62049324
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1971	YR1971	4.342756029	0	0	3.293362378	3.465916492
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1972	YR1972	5.726048819	0	0	5.258895358	0.90023465
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1973	YR1973	6.505465892	0	0	5.64571947	2.25661825
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1974	YR1974	1.996563711	0	0	-0.540546529	3.49982832
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1975	YR1975	0.602978792	0	0	-0.205464012	1.669216524
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1976	YR1976	5.272405894	0	0	5.388139227	-0.449176342
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1977	YR1977	3.934633549	0	0	4.624159207	0.04667581
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1978	YR1978	3.889419493	0	0	5.535302693	2.406332166
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1979	YR1979	4.124186684	0	0	3.166150271	4.511265607
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1980	YR1980	1.904212329	0	0	-0.256751931	4.843503756
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1981	YR1981	1.922996979	0	0	2.537718698	2.881428565
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1982	YR1982	0.431396294	0	0	-1.802874453	4.781755535
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1983	YR1983	2.412084489	0	0	4.583927316	-2.102801617
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1984	YR1984	4.505591869	0	0	7.236619994	4.093034267
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1985	YR1985	3.713639002	0	0	4.169655954	-5.311340498
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1986	YR1986	3.3961589	0	0	3.462651713	1.236046911
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1987	YR1987	3.702151143	3.299938845	0	3.459572555	7.231268731
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1988	YR1988	4.617448788	6.308116697	0	4.177046384	-7.08
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1989	YR1989	3.678421679	4.003476013	0	3.672656329	0.729999999
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1990	YR1990	2.918371594	4.324062754	0	1.885960323	3.349997984
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1991	YR1991	1.427044564	2.613423005	0	-0.108259105	2.351960645
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1992	YR1992	1.767371499	3.270947301	0	3.522442494	-19.01290963
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1993	YR1993	1.529569197	5.044144542	0	2.752844327	1.374549379
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1994	YR1994	3.001375404	3.970099106	0	4.028839064	-1.947384335
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1995	YR1995	3.062748188	4.607673202	0	2.684287132	-7.999753286
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1996	YR1996	3.378779851	4.461575085	0	3.772501319	1.753821399
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1997	YR1997	3.682507131	5.181603459	0	4.447216343	-5.877082015
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1998	YR1998	2.553421484	3.644121242	0	4.481407555	1.785014281
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	1999	YR1999	3.243334114	3.812004035	0	4.753235989	-1.979285588
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2000	YR2000	4.383542814	2.503060561	0	4.127484014	6.652727885
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2001	YR2001	1.949442694	3.658346471	2.920272969	0.998340795	-6.345455153
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2002	YR2002	2.176384092	5.164609466	3.763018282	1.74169525	26.4173166
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2003	YR2003	2.956849631	1.24860126	-30.14513259	2.861210767	9.313120969
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2004	YR2004	4.402955476	2.340117313	2.619847686	3.798891127	6.59794486
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2005	YR2005	3.914924965	2.997272562	5.281212071	3.513213797	4.505095672
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2006	YR2006	4.379508585	1.180140446	8.043906248	2.854972292	4.223914279
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2007	YR2007	4.319258315	6.827474427	9.535279869	1.876171458	8.058145152
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2008	YR2008	1.850560542	4.133009508	7.145688998	-0.136579805	5.39828521
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2009	YR2009	-1.678927641	-1.122641858	5.300539377	-2.536757066	3.188051216
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2010	YR2010	4.298923039	4.813362961	6.099827602	2.563766559	5.346466052
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2011	YR2011	3.132980367	5.61210719	8.20076584	1.550835506	6.315045036
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2012	YR2012	2.507633769	5.915288139	7.993815693	2.249545852	15.18176908
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2013	YR2013	2.654362447	3.945685431	8.704028066	1.842081071	20.71576829
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2014	YR2014	2.833184774	3.696541182	0.701143912	2.451973035	4.556772366
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2015	YR2015	2.857940944	3.825922386	0	2.880910466	-20.59877072
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2016	YR2016	2.584034628	10.82062122	-1.599584075	1.56721517	6.055474029
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2017	YR2017	3.188584759	10.30000083	2.468626095	2.21701033	4.211182649
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2018	YR2018	3.052659227	6.163853325	1.222551313	2.927322728	3.446162621
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2019	YR2019	..	..	..	..	..
								
								
								
Data from database: World Development Indicators								
Last Updated: 04/09/2020								
